,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.1892463331679245,0.4305663,0.6345659898368338,0.2430730542942107,0.48374248,0.5245017323706941
1,SI,0.0001,0.1844747703667585,0.4255333,0.6279123341407408,0.2414015679777442,0.48322123,0.5081872688794473
2,SI,0.001,0.1854437085037881,0.42671564,0.6278875773279379,0.244780804744208,0.48531675,0.525369746592325
3,SI,0.01,0.1854291086556849,0.4266744,0.6318592457365306,0.2439591068871222,0.48552424,0.5093444311406394
4,SI,0.1,0.1880164218510126,0.42933625,0.636066449037431,0.2387006425480176,0.48002118,0.5298514057642816
5,SI,1.0,0.1837367130467644,0.42501023,0.6245589638556021,0.2334021627685273,0.47631395,0.5235847521953059
6,SI,10.0,0.1821942842722713,0.42351973,0.625753805394785,0.2342633985998955,0.4785741,0.5221075771910981
7,SI,100.0,0.1881938179979076,0.42964435,0.6341899031224453,0.2329088576573443,0.47600567,0.5221818519033655
8,SI,1000.0,0.193213575846189,0.43470526,0.6351577145321381,0.2353927501416825,0.47817934,0.514811963908719
0,SI,10000,0.18597507012354864,0.42743614,0.6321736339094184,0.23829335053632786,0.4806282,0.5127567496940282
