,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.6819648742675781,0.7447395324707031,"(30.14, 1.57)","(103.04, 2.6)",0,0
1,0.0001,0.7447395324707031,0.7831802368164062,"(103.04, 2.6)","(177.59, 3.5)",0,0
2,0.001,0.7831802368164062,0.811126708984375,"(177.59, 3.5)","(251.62, 4.38)",0,0
3,0.01,0.811126708984375,0.840423583984375,"(251.62, 4.38)","(324.47, 5.32)",0,0
4,0.1,0.840423583984375,0.8697166442871094,"(324.47, 5.32)","(398.47, 6.24)",0,0
5,1.0,0.8697166442871094,0.8970489501953125,"(398.47, 6.24)","(471.34, 7.15)",0,0
6,10.0,0.8970489501953125,0.9304847717285156,"(471.34, 7.15)","(545.24, 8.13)",0,0
7,100.0,0.9304847717285156,0.9580726623535156,"(545.24, 8.13)","(617.5, 9.07)",0,0
8,1000.0,0.9580726623535156,0.98516845703125,"(617.51, 9.07)","(690.42, 10.08)",0,0
0,10000,0.98516845703125,1.0132293701171875,"(690.42, 10.08)","(763.61, 11.04)",0,0
