,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.2237548828125,1.2443809509277344,"(1503.37, 20.54)","(1576.94, 21.53)",0,0
1,0.0001,1.2443809509277344,1.2716026306152344,"(1576.94, 21.53)","(1650.67, 22.51)",0,0
2,0.001,1.2716026306152344,1.2988128662109375,"(1650.68, 22.51)","(1724.42, 23.44)",0,0
3,0.01,1.2988128662109375,1.3227386474609375,"(1724.42, 23.44)","(1799.16, 24.34)",0,0
4,0.1,1.3227386474609375,1.3414039611816406,"(1799.16, 24.34)","(1873.25, 25.3)",0,0
5,1.0,1.3414039611816406,1.362396240234375,"(1873.25, 25.31)","(1946.98, 26.21)",0,0
6,10.0,1.362396240234375,1.3820457458496094,"(1946.98, 26.21)","(2020.94, 27.13)",0,0
7,100.0,1.3820457458496094,1.4026756286621094,"(2020.95, 27.13)","(2094.9, 28.13)",0,0
8,1000.0,1.4026756286621094,1.4225730895996094,"(2094.9, 28.13)","(2169.49, 29.05)",0,0
0,10000,1.4225730895996094,1.4427070617675781,"(2169.5, 29.05)","(2243.23, 30.0)",0,0
