,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1814902692355892,0.4221024,0.6296655497409792,0.2369361301111121,0.47846594,0.5195648960239789
1,MAS,0.0001,0.1877402764345918,0.42882663,0.6374021297246981,0.2380938632096968,0.4804632,0.5220834124369097
2,MAS,0.001,0.1902820527940601,0.4311309,0.6400680633753524,0.2340652170229931,0.47655663,0.5280040508457973
3,MAS,0.01,0.1837460304332244,0.42460024,0.6293315795333226,0.2374493571720561,0.47929803,0.5235379753279495
4,MAS,0.1,0.1902320201617556,0.4314341,0.6339964976982342,0.2328480698776488,0.47571978,0.5258463233787074
5,MAS,1.0,0.1868333022122259,0.42804843,0.6304488879259577,0.2346336747817441,0.47741327,0.5153961233032898
6,MAS,10.0,0.1895502907308665,0.43083784,0.6357162097905293,0.2440876311489514,0.4858456,0.5265353479229967
7,MAS,100.0,0.192200029534953,0.43350828,0.6330870325412792,0.2363158798947626,0.47889793,0.5275037728120056
8,MAS,1000.0,0.1916726567818747,0.43322387,0.6332839917198653,0.2350607302774782,0.47807187,0.5194937162265528
0,MAS,10000,0.1813449514666935,0.42167118,0.6339536977337222,0.2360396902932196,0.47760332,0.5229857321673334
