,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,3.291595458984375,3.311115264892578,"(9045.69, 129.54)","(9121.03, 130.66)",0,0
1,0.0001,3.311115264892578,3.330890655517578,"(9121.03, 130.66)","(9195.63, 131.82)",0,0
2,0.001,3.330890655517578,3.35028076171875,"(9195.64, 131.82)","(9270.4, 132.88)",0,0
3,0.01,3.35028076171875,3.37054443359375,"(9270.4, 132.88)","(9345.23, 134.04)",0,0
4,0.1,3.37054443359375,3.39056396484375,"(9345.23, 134.04)","(9419.78, 135.1)",0,0
5,1.0,3.39056396484375,3.411060333251953,"(9419.78, 135.1)","(9494.71, 136.25)",0,0
6,10.0,3.411060333251953,3.4311981201171875,"(9494.72, 136.25)","(9569.52, 137.41)",0,0
7,100.0,3.4311981201171875,3.450843811035156,"(9569.53, 137.41)","(9644.19, 138.54)",0,0
8,1000.0,3.450843811035156,3.4704818725585938,"(9644.19, 138.54)","(9719.24, 139.63)",0,0
0,10000,3.4704818725585938,3.4903602600097656,"(9719.24, 139.63)","(9794.34, 140.83)",0,0
