,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,20.23046875,75.96000000000016,0.0,0.0
1,0.0001,24.46875,77.24000000000014,0.0,0.0
2,0.001,15.472656249999545,76.58999999999921,0.0,0.0
3,0.01,21.980468750000455,76.41000000000022,0.0,0.0
4,0.1,17.25,77.36999999999985,0.0,0.0
5,1.0,17.49609375,76.55999999999925,0.0,0.0
6,10.0,19.4921875,75.85000000000075,0.0,0.0
7,100.0,20.230468749999545,75.72999999999949,0.0,0.0
8,1000.0,19.734375000000455,75.9500000000003,0.0,0.0
9,10000.0,20.375,76.83000000000013,0.0,0.0
