,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,19.58984375,76.74000000000044,0.0,0.0
1,0.0001,19.082031249999545,75.97999999999976,0.0,0.0
2,0.001,19.0,76.8699999999995,0.0,0.0
3,0.01,18.83984375000091,76.62000000000111,0.0,0.0
4,0.1,20.347656249999545,77.92999999999932,0.0,0.0
5,1.0,25.375,76.62999999999985,0.0,0.0
6,10.0,20.35546875,76.42999999999986,0.0,0.0
7,100.0,24.2421875,76.97000000000014,0.0,0.0
8,1000.0,21.86328125,77.04999999999922,0.0,0.0
9,10000.0,20.496093750000455,76.58000000000123,0.0,0.0
