,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1816176236546658,0.42232725,0.6294849195515629,0.2417099260199232,0.4829655,0.524491682875814
1,EWCOnline,0.0001,0.1791892908029742,0.41975346,0.6184548769215067,0.2486766719949894,0.49000072,0.5197485389817609
2,EWCOnline,0.001,0.1841911944476041,0.42510024,0.6374835529042392,0.2464361721966542,0.48740134,0.5206827854583643
3,EWCOnline,0.01,0.1863485071082394,0.42736366,0.6340363258098857,0.2472633802312977,0.48770496,0.5225874175416579
4,EWCOnline,0.1,0.1844627958323274,0.4249225,0.6300186143333257,0.2535943269830982,0.4942589,0.5269505658630464
5,EWCOnline,1.0,0.1841654110361229,0.42461476,0.6314989146743984,0.2372104852732752,0.47956952,0.529312146181394
6,EWCOnline,10.0,0.182116574426363,0.42246112,0.6277777827908116,0.2298725828731141,0.47310987,0.521305181847289
7,EWCOnline,100.0,0.1830936642242716,0.42372724,0.6369115341099318,0.2424564190766438,0.48672226,0.5366328650554606
8,EWCOnline,1000.0,0.1835405264872235,0.4243057,0.637513503893757,0.2501621106196017,0.4938428,0.5411435508200951
0,EWCOnline,10000,0.18333908901005594,0.4236395,0.6348064269776151,0.25171795086998516,0.49506602,0.537177758320366
