,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1803371715661767,0.42043364,0.6371825997442696,0.2351845081315025,0.47711396,0.5238070954398873
1,MAS,0.0001,0.188789061863314,0.42947882,0.6380527341517391,0.2326420725891729,0.4752123,0.5287260543904286
2,MAS,0.001,0.1804692450572144,0.42054388,0.6336176323668159,0.2365060953786233,0.47830623,0.5175845403594999
3,MAS,0.01,0.1803344275270189,0.4205831,0.6298482319027897,0.2403076182518686,0.48181385,0.5071715551138285
4,MAS,0.1,0.1828635601544535,0.42346478,0.6353922256163549,0.2353414637411569,0.4777565,0.5114002138367043
5,MAS,1.0,0.1927348244209568,0.43436155,0.6384567127187469,0.2333282968730895,0.47664475,0.5273421502759592
6,MAS,10.0,0.1879693812557629,0.42894477,0.6246093692493185,0.2373218568840197,0.4798441,0.4990421027202742
7,MAS,100.0,0.1869916235181418,0.4274232,0.6398444079267498,0.231375945064348,0.47392118,0.5238640648876793
8,MAS,1000.0,0.1836193385836366,0.42427966,0.633931970368721,0.2385058396580544,0.4805376,0.5150217838414807
0,MAS,10000,0.18840877527927424,0.42954952,0.636748852879847,0.2397691063437756,0.48222747,0.5155192804301831
