,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.1852709515044441,0.4254906,0.636770870162244,0.2517488925483357,0.49218634,0.5258794115978481
1,SI,0.0001,0.1833313598551533,0.423865,0.6349861104296188,0.2571532346409599,0.4974325,0.5215299413738763
2,SI,0.001,0.186768007355851,0.427829,0.6377536579462985,0.2373085747770711,0.47854516,0.5293125052181948
3,SI,0.01,0.1839618423058615,0.42464468,0.6280018874911265,0.2483860258595878,0.48865914,0.5259970003227873
4,SI,0.1,0.1849162518591075,0.42542335,0.6391948133505282,0.2361278041538332,0.47861195,0.5276965857233061
5,SI,1.0,0.1878088915889913,0.4286581,0.6339531789424121,0.2341275521028204,0.4776659,0.5323267733814729
6,SI,10.0,0.1909615813524692,0.432214,0.6334693970306297,0.2268022528919233,0.47052458,0.5269776773604805
7,SI,100.0,0.1839750087880469,0.4247897,0.6326675882046607,0.2338503003627265,0.47650406,0.519916615751841
8,SI,1000.0,0.1866660501275743,0.42786446,0.63430336417742,0.2399250999549213,0.4817929,0.5137311186875538
0,SI,10000,0.1847497843109168,0.42553595,0.635899314581324,0.23146928595949193,0.47356805,0.5274129624606557
