,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1876119063175343,0.42873898,0.6252086450337315,0.2447534593088286,0.48592514,0.527367040323151
1,EWCOnline,0.0001,0.1903196178957239,0.43148333,0.631988487004933,0.2446638294483546,0.48546526,0.528428546819675
2,EWCOnline,0.001,0.1840953581615702,0.4250694,0.6308466303231882,0.2449005651541731,0.4855386,0.5227765456104092
3,EWCOnline,0.01,0.1847572176680936,0.42553076,0.6306320903120172,0.2445471040251386,0.48571,0.52835869286243
4,EWCOnline,0.1,0.18885950366785,0.43040106,0.6273696945083711,0.2423183002182609,0.48398453,0.528962119790424
5,EWCOnline,1.0,0.1817208926689315,0.42239746,0.6273186034610195,0.2409668010671611,0.48322302,0.5330719848821244
6,EWCOnline,10.0,0.187460197498659,0.4285439,0.6201511729109944,0.2317397304435635,0.4739536,0.5311953668877911
7,EWCOnline,100.0,0.1813866811526286,0.42216387,0.6191686248520135,0.2363660711504809,0.48044443,0.5334705358635763
8,EWCOnline,1000.0,0.1837095528260454,0.42427453,0.6272507840617374,0.2436465963261661,0.48771128,0.5382104293739132
0,EWCOnline,10000,0.18520817954044838,0.4261331,0.6101850801394519,0.25298579552440675,0.49673432,0.5334042441131343
