,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,4.694538116455078,4.714286804199219,"(14390.19, 216.2)","(14466.08, 217.5)",0,0
1,0.0001,4.714286804199219,4.734298706054688,"(14466.09, 217.5)","(14542.24, 218.88)",0,0
2,0.001,4.734298706054688,4.754180908203125,"(14542.25, 218.88)","(14617.6, 220.18)",0,0
3,0.01,4.754180908203125,4.773681640625,"(14617.6, 220.18)","(14692.81, 221.56)",0,0
4,0.1,4.773681640625,4.793426513671875,"(14692.81, 221.56)","(14767.87, 222.9)",0,0
5,1.0,4.793426513671875,4.813056945800781,"(14767.88, 222.9)","(14843.78, 224.25)",0,0
6,10.0,4.813056945800781,4.842327117919922,"(14843.78, 224.25)","(14919.23, 225.53)",0,0
7,100.0,4.842327117919922,4.862094879150391,"(14919.23, 225.53)","(14994.85, 226.84)",0,0
8,1000.0,4.862094879150391,4.881980895996094,"(14994.85, 226.84)","(15070.59, 228.23)",0,0
0,10000,4.881980895996094,4.9019927978515625,"(15070.6, 228.23)","(15146.48, 229.52)",0,0
