,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.186132229332413,0.42721415,0.6305333977006767,0.2545767527352385,0.49459726,0.5199727603170096
1,EWC,0.0001,0.188239580334781,0.42935988,0.6305162376344189,0.247807149148109,0.48848432,0.5223563157364173
2,EWC,0.001,0.1953230284928501,0.43702883,0.6287241394996491,0.2451829474140592,0.48595786,0.5213953793685085
3,EWC,0.01,0.1894841075137064,0.43078467,0.6211820084257195,0.245893943142526,0.48704627,0.5248528557165207
4,EWC,0.1,0.1838435008154287,0.42458698,0.6319863206693435,0.244303121047766,0.485558,0.5220212326628912
5,EWC,1.0,0.1902672420558217,0.43175006,0.6317787414984536,0.2507991716772521,0.49203032,0.5246444993610887
6,EWC,10.0,0.1878854317905067,0.42928383,0.6320261564283322,0.2342482835662607,0.4773843,0.5297948732967804
7,EWC,100.0,0.1880226953850164,0.42972878,0.6239899808776902,0.2404349940721275,0.48518562,0.5329410386217902
8,EWC,1000.0,0.1880072060149985,0.4294501,0.6242901264646433,0.242727791218936,0.4866846,0.5436583964169256
0,EWC,10000,0.1853682231883724,0.4262452,0.6213974877345669,0.24952652282556714,0.49251205,0.4916220193077864
