,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.1865415524255919,0.4276888,0.6183459058836875,0.2423389589075337,0.48309588,0.5228653317003464
1,EWC,0.0001,0.1831131655867997,0.4239754,0.6149433823395735,0.2409607093079717,0.48174155,0.5221233329595126
2,EWC,0.001,0.1910484780061554,0.4322512,0.6305031614870932,0.2461232191870932,0.4864847,0.5228612688703335
3,EWC,0.01,0.1884411047515157,0.4297147,0.6243094806573074,0.2474816424046437,0.48774087,0.5244828128235288
4,EWC,0.1,0.1840699848706846,0.42483476,0.6188882055108335,0.2427445838808433,0.48390618,0.518978426084481
5,EWC,1.0,0.1859891364326724,0.42675176,0.6212633771488549,0.2359728422427138,0.4779755,0.5314826826824397
6,EWC,10.0,0.1842396819552818,0.42473978,0.6271876231897059,0.2262682731638287,0.4698964,0.5386099635564541
7,EWC,100.0,0.1923673632373283,0.43378276,0.630778769903654,0.2358570799425051,0.48019195,0.5307312404131628
8,EWC,1000.0,0.1838317245438501,0.42451337,0.6219962763414151,0.2481279899257344,0.49174243,0.5224468267034872
0,EWC,10000,0.1812529568741848,0.42151073,0.6320529343331366,0.25162717616306496,0.49504137,0.5100695801598414
