,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.1884,0.4296,0.6261,0.2399,0.4826,0.5271
1,EWC,0.0001,0.1894,0.431,0.627,0.2588,0.4984,0.5204
2,EWC,0.001,0.192,0.4333,0.6298,0.2461,0.4871,0.523
3,EWC,0.01,0.2071,0.45,0.6307,0.2649,0.5058,0.5059
4,EWC,0.1,0.1921,0.4338,0.6309,0.2403,0.4824,0.5223
5,EWC,1.0,0.1968,0.439,0.6309,0.24,0.4817,0.5282
6,EWC,10.0,0.1963,0.4383,0.6203,0.2349,0.4778,0.4956
7,EWC,100.0,0.1951,0.4363,0.631,0.2209,0.4649,0.5234
8,EWC,1000.0,0.2034,0.4461,0.6171,0.2456,0.4875,0.519
0,EWC,10000,0.2084,0.4514,0.6301,0.23,0.4727,0.5281
