,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.3978996276855469,0.4693107604980469,"(31.99, 2.07)","(46.02, 2.4)",0,0
1,0.0001,0.4693145751953125,0.5065116882324219,"(46.03, 2.4)","(60.0, 2.65)",0,0
2,0.001,0.5065460205078125,0.5344924926757812,"(60.0, 2.65)","(73.85, 2.88)",0,0
3,0.01,0.5345001220703125,0.5663414001464844,"(73.85, 2.88)","(87.75, 3.11)",0,0
4,0.1,0.5663490295410156,0.5959968566894531,"(87.76, 3.11)","(101.72, 3.32)",0,0
5,1.0,0.5960006713867188,0.6235198974609375,"(101.72, 3.32)","(115.91, 3.54)",0,0
6,10.0,0.6235237121582031,0.6417274475097656,"(115.92, 3.54)","(129.8, 3.77)",0,0
7,100.0,0.6417274475097656,0.6702423095703125,"(129.81, 3.77)","(143.68, 3.99)",0,0
8,1000.0,0.6702499389648438,0.6957168579101562,"(143.69, 3.99)","(157.92, 4.24)",0,0
0,10000,0.6957168579101562,0.7237930297851562,"(157.92, 4.25)","(172.05, 4.48)",0,0
