,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1923,0.4339,0.6333,0.2648,0.5036,0.5037
1,EWCOnline,0.0001,0.1918,0.4332,0.6233,0.2499,0.4902,0.5181
2,EWCOnline,0.001,0.1914,0.433,0.6166,0.2395,0.4815,0.5206
3,EWCOnline,0.01,0.2435,0.4882,0.6007,0.2414,0.4829,0.5276
4,EWCOnline,0.1,0.1875,0.4286,0.6186,0.2505,0.4913,0.5299
5,EWCOnline,1.0,0.2048,0.4479,0.6254,0.2376,0.4804,0.5092
6,EWCOnline,10.0,0.2315,0.4761,0.6093,0.245,0.4865,0.5262
7,EWCOnline,100.0,0.2406,0.4852,0.6074,0.2581,0.5006,0.5055
8,EWCOnline,1000.0,0.2001,0.443,0.6285,0.2416,0.4849,0.5036
0,EWCOnline,10000,0.1885,0.4296,0.614,0.237,0.4796,0.5168
