,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1923,0.4339,0.6333,0.2689,0.5076,0.4982
1,EWCOnline,0.0001,0.1918,0.4332,0.6233,0.2534,0.4937,0.5133
2,EWCOnline,0.001,0.1914,0.433,0.6166,0.2427,0.4846,0.516
3,EWCOnline,0.01,0.2435,0.4882,0.6007,0.2446,0.4861,0.5243
4,EWCOnline,0.1,0.1875,0.4286,0.6186,0.2543,0.4951,0.5265
5,EWCOnline,1.0,0.2048,0.4479,0.6254,0.2399,0.4827,0.5066
6,EWCOnline,10.0,0.2315,0.4761,0.6093,0.248,0.4895,0.5225
7,EWCOnline,100.0,0.2406,0.4852,0.6074,0.2608,0.5032,0.5041
8,EWCOnline,1000.0,0.2001,0.443,0.6285,0.244,0.4873,0.5012
0,EWCOnline,10000,0.1885,0.4296,0.614,0.2394,0.482,0.5126
