,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.72381591796875,0.7440872192382812,"(172.06, 4.49)","(185.99, 4.7)",0,0
1,0.0001,0.7460479736328125,0.7738380432128906,"(185.99, 4.7)","(199.96, 4.93)",0,0
2,0.001,0.7738418579101562,0.782928466796875,"(199.96, 4.94)","(214.01, 5.17)",0,0
3,0.01,0.7829322814941406,0.8025856018066406,"(214.01, 5.17)","(228.21, 5.42)",0,0
4,0.1,0.8025894165039062,0.8206253051757812,"(228.22, 5.42)","(242.36, 5.66)",0,0
5,1.0,0.8206253051757812,0.8429718017578125,"(242.36, 5.66)","(256.52, 5.88)",0,0
6,10.0,0.8429794311523438,0.86468505859375,"(256.52, 5.88)","(270.48, 6.11)",0,0
7,100.0,0.86468505859375,0.8842926025390625,"(270.49, 6.12)","(284.56, 6.35)",0,0
8,1000.0,0.8842964172363281,0.9038810729980468,"(284.57, 6.35)","(298.82, 6.62)",0,0
0,10000,0.9038810729980469,0.9283065795898438,"(298.82, 6.62)","(312.95, 6.86)",0,0
