,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1817,0.4226,0.6157,0.2472,0.4887,0.5218
1,MAS,0.0001,0.1894,0.4305,0.6257,0.2363,0.4778,0.5281
2,MAS,0.001,0.205,0.4485,0.6077,0.2431,0.4855,0.5309
3,MAS,0.01,0.2036,0.4463,0.6282,0.253,0.4945,0.5259
4,MAS,0.1,0.1948,0.4366,0.6258,0.237,0.4786,0.5233
5,MAS,1.0,0.192,0.4342,0.6211,0.2315,0.4748,0.5336
6,MAS,10.0,0.2034,0.4464,0.6332,0.2429,0.4851,0.5271
7,MAS,100.0,0.2133,0.4563,0.6266,0.2492,0.4906,0.5217
8,MAS,1000.0,0.1839,0.4248,0.6191,0.2354,0.4775,0.5292
0,MAS,10000,0.1962,0.4379,0.6295,0.2515,0.4935,0.5086
