,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1817,0.4226,0.6157,0.2505,0.4919,0.5175
1,MAS,0.0001,0.1894,0.4305,0.6257,0.2395,0.481,0.5235
2,MAS,0.001,0.205,0.4485,0.6077,0.2464,0.4886,0.5278
3,MAS,0.01,0.2036,0.4463,0.6282,0.2559,0.4974,0.522
4,MAS,0.1,0.1948,0.4366,0.6258,0.2399,0.4816,0.5201
5,MAS,1.0,0.192,0.4342,0.6211,0.234,0.4773,0.5308
6,MAS,10.0,0.2034,0.4464,0.6332,0.2457,0.4878,0.5237
7,MAS,100.0,0.2133,0.4563,0.6266,0.2521,0.4935,0.5189
8,MAS,1000.0,0.1839,0.4248,0.6191,0.238,0.4802,0.5256
0,MAS,10000,0.1962,0.4379,0.6295,0.254,0.4959,0.505
