,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.1175575256347656,1.1424102783203125,"(454.34, 9.48)","(468.41, 9.75)",0,0
1,0.0001,1.1424102783203125,1.1575393676757812,"(468.41, 9.75)","(482.93, 10.01)",0,0
2,0.001,1.1575393676757812,1.1730690002441406,"(482.93, 10.01)","(497.12, 10.3)",0,0
3,0.01,1.173076629638672,1.19354248046875,"(497.12, 10.3)","(511.33, 10.58)",0,0
4,0.1,1.1935501098632812,1.2148590087890625,"(511.33, 10.58)","(525.49, 10.85)",0,0
5,1.0,1.2148666381835938,1.238178253173828,"(525.49, 10.86)","(539.6, 11.13)",0,0
6,10.0,1.2381820678710938,1.2554435729980469,"(539.6, 11.13)","(553.77, 11.39)",0,0
7,100.0,1.2554473876953125,1.2767791748046875,"(553.77, 11.39)","(567.82, 11.66)",0,0
8,1000.0,1.2767791748046875,1.2938690185546875,"(567.82, 11.67)","(581.97, 11.93)",0,0
0,10000,1.2958221435546875,1.3146209716796875,"(581.97, 11.94)","(596.04, 12.24)",0,0
