,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.201,0.4427,0.6256,0.2443,0.4853,0.5205
1,SI,0.0001,0.1831,0.4238,0.6249,0.2467,0.4888,0.5234
2,SI,0.001,0.1817,0.4222,0.6231,0.2411,0.4825,0.5261
3,SI,0.01,0.187,0.4277,0.6261,0.2555,0.4972,0.5226
4,SI,0.1,0.185,0.4259,0.626,0.2344,0.4766,0.5342
5,SI,1.0,0.1953,0.4377,0.6219,0.2365,0.4813,0.5381
6,SI,10.0,0.1885,0.4303,0.6278,0.2207,0.4649,0.5338
7,SI,100.0,0.1895,0.4301,0.6273,0.2407,0.4828,0.5002
8,SI,1000.0,0.1829,0.424,0.6258,0.2439,0.4856,0.4968
0,SI,10000,0.1851,0.4257,0.629,0.2471,0.4887,0.5103
