,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.201,0.4427,0.6256,0.2475,0.4885,0.5161
1,SI,0.0001,0.1831,0.4238,0.6249,0.2501,0.4921,0.5198
2,SI,0.001,0.1817,0.4222,0.6231,0.2444,0.4859,0.522
3,SI,0.01,0.187,0.4277,0.6261,0.259,0.5005,0.5195
4,SI,0.1,0.185,0.4259,0.626,0.2369,0.4792,0.5316
5,SI,1.0,0.1953,0.4377,0.6219,0.2374,0.4822,0.543
6,SI,10.0,0.1885,0.4303,0.6278,0.22,0.4641,0.5378
7,SI,100.0,0.1895,0.4301,0.6273,0.2385,0.4805,0.5071
8,SI,1000.0,0.1829,0.424,0.6258,0.2413,0.4829,0.5035
0,SI,10000,0.1851,0.4257,0.629,0.2444,0.4858,0.5171
