,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.9283332824707032,0.9460601806640624,"(312.96, 6.86)","(327.12, 7.13)",0,0
1,0.0001,0.9460716247558594,0.9675064086914062,"(327.13, 7.13)","(341.12, 7.38)",0,0
2,0.001,0.9675064086914062,0.9789199829101562,"(341.13, 7.38)","(355.22, 7.62)",0,0
3,0.01,0.9789276123046876,0.9957504272460938,"(355.22, 7.62)","(369.33, 7.87)",0,0
4,0.1,0.9957542419433594,1.011444091796875,"(369.34, 7.87)","(383.7, 8.15)",0,0
5,1.0,1.011444091796875,1.0289993286132812,"(383.7, 8.15)","(397.85, 8.4)",0,0
6,10.0,1.0309524536132812,1.058612823486328,"(397.85, 8.4)","(412.01, 8.67)",0,0
7,100.0,1.0586204528808594,1.0778732299804688,"(412.01, 8.67)","(426.14, 8.95)",0,0
8,1000.0,1.0778846740722656,1.0984611511230469,"(426.14, 8.95)","(440.26, 9.22)",0,0
0,10000,1.0984687805175781,1.1174736022949219,"(440.26, 9.22)","(454.32, 9.48)",0,0
