,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.1836,0.4242,0.6255,0.2477,0.4884,0.5204
1,EWC,0.0001,0.1806,0.4207,0.6389,0.2493,0.4897,0.5214
2,EWC,0.001,0.1799,0.42,0.6365,0.2418,0.4832,0.522
3,EWC,0.01,0.1812,0.4216,0.6264,0.2432,0.4844,0.5168
4,EWC,0.1,0.1837,0.4244,0.6341,0.2419,0.4834,0.5252
5,EWC,1.0,0.1808,0.421,0.6357,0.2401,0.4815,0.5232
6,EWC,10.0,0.1801,0.4204,0.6307,0.2436,0.4852,0.5242
7,EWC,100.0,0.18,0.4201,0.6405,0.2314,0.4751,0.5256
8,EWC,1000.0,0.1789,0.4191,0.6203,0.2263,0.4703,0.5447
0,EWC,10000,0.1817,0.422,0.6329,0.2492,0.4924,0.4474
