,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.3920211791992187,0.52496337890625,"(34.96, 3.73)","(52.16, 4.36)",0,0
1,0.0001,0.5249671936035156,0.5813102722167969,"(52.17, 4.36)","(69.29, 4.78)",0,0
2,0.001,0.5813102722167969,0.6106605529785156,"(69.3, 4.78)","(86.31, 5.19)",0,0
3,0.01,0.6106643676757812,0.6413078308105469,"(86.32, 5.19)","(103.49, 5.61)",0,0
4,0.1,0.6413116455078125,0.6682510375976562,"(103.49, 5.61)","(120.87, 6.02)",0,0
5,1.0,0.6682510375976562,0.6986274719238281,"(120.88, 6.02)","(137.96, 6.43)",0,0
6,10.0,0.6986312866210938,0.7213325500488281,"(137.96, 6.43)","(155.16, 6.85)",0,0
7,100.0,0.7213363647460938,0.7441139221191406,"(155.16, 6.85)","(172.55, 7.27)",0,0
8,1000.0,0.7441215515136719,0.7703475952148438,"(172.56, 7.27)","(189.57, 7.68)",0,0
0,10000,0.7703514099121094,0.7950973510742188,"(189.57, 7.68)","(206.67, 8.09)",0,0
