,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1812,0.4217,0.6381,0.2374,0.479,0.5192
1,EWCOnline,0.0001,0.179,0.419,0.6376,0.2506,0.4917,0.5108
2,EWCOnline,0.001,0.1853,0.4261,0.628,0.2478,0.489,0.5255
3,EWCOnline,0.01,0.1822,0.4226,0.6341,0.2399,0.4818,0.5095
4,EWCOnline,0.1,0.1805,0.4206,0.6353,0.2381,0.4796,0.5278
5,EWCOnline,1.0,0.1793,0.4195,0.6234,0.2451,0.4868,0.5297
6,EWCOnline,10.0,0.1871,0.4282,0.6394,0.2409,0.483,0.5221
7,EWCOnline,100.0,0.18,0.4202,0.6324,0.2337,0.4776,0.5327
8,EWCOnline,1000.0,0.1797,0.4197,0.634,0.226,0.4704,0.5425
0,EWCOnline,10000,0.1817,0.4219,0.6374,0.245,0.4889,0.5166
