,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.1812,0.4217,0.6381,0.2403,0.4819,0.5149
1,EWCOnline,0.0001,0.179,0.419,0.6376,0.2541,0.4951,0.5064
2,EWCOnline,0.001,0.1853,0.4261,0.628,0.2514,0.4925,0.5209
3,EWCOnline,0.01,0.1822,0.4226,0.6341,0.2429,0.4848,0.5053
4,EWCOnline,0.1,0.1805,0.4206,0.6353,0.2411,0.4827,0.5245
5,EWCOnline,1.0,0.1793,0.4195,0.6234,0.2483,0.49,0.5258
6,EWCOnline,10.0,0.1871,0.4282,0.6394,0.2437,0.4858,0.5186
7,EWCOnline,100.0,0.18,0.4202,0.6324,0.2349,0.4787,0.531
8,EWCOnline,1000.0,0.1797,0.4197,0.634,0.2268,0.4711,0.5457
0,EWCOnline,10000,0.1817,0.4219,0.6374,0.2449,0.4887,0.5211
