,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.7951316833496094,0.7939376831054688,"(206.68, 8.1)","(224.13, 8.5)",0,0
1,0.0001,0.7939376831054688,0.8129539489746094,"(224.13, 8.5)","(241.57, 8.9)",0,0
2,0.001,0.8129539489746094,0.8415794372558594,"(241.57, 8.91)","(258.82, 9.33)",0,0
3,0.01,0.8415794372558594,0.8727951049804688,"(258.83, 9.33)","(276.22, 9.78)",0,0
4,0.1,0.8727951049804688,0.8894233703613281,"(276.23, 9.78)","(293.52, 10.19)",0,0
5,1.0,0.8894233703613281,0.9069137573242188,"(293.53, 10.19)","(311.08, 10.64)",0,0
6,10.0,0.9069137573242188,0.9273414611816406,"(311.09, 10.64)","(328.36, 11.07)",0,0
7,100.0,0.9273414611816406,0.9500160217285156,"(328.36, 11.07)","(345.7, 11.49)",0,0
8,1000.0,0.9500236511230468,0.9708023071289062,"(345.71, 11.49)","(362.87, 11.93)",0,0
0,10000,0.9708099365234375,0.9891433715820312,"(362.87, 11.93)","(380.42, 12.36)",0,0
