,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,-1.22265625,17.849999999999987,0.0,0.0
1,0.0001,19.47265625,17.839999999999996,0.0,0.0
2,0.001,29.3125,17.669999999999998,0.0,0.0
3,0.01,31.96484375,17.840000000000046,0.0,0.0
4,0.1,17.02734375,17.69999999999996,0.0,0.0
5,1.0,17.91015625,18.000000000000014,0.0,0.0
6,10.0,20.91796875,17.70000000000004,0.0,0.0
7,100.0,23.21875,17.759999999999977,0.0,0.0
8,1000.0,21.277343750000114,17.600000000000023,0.0,0.0
9,10000.0,18.773437499999886,17.98000000000001,0.0,0.0
