,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1826,0.4229,0.6403,0.2441,0.4851,0.5242
1,MAS,0.0001,0.1836,0.4242,0.6374,0.2431,0.484,0.5269
2,MAS,0.001,0.1857,0.4264,0.6359,0.2385,0.4796,0.5257
3,MAS,0.01,0.1831,0.4232,0.6388,0.2363,0.4777,0.5314
4,MAS,0.1,0.1836,0.4239,0.6396,0.2318,0.4737,0.5345
5,MAS,1.0,0.1807,0.4207,0.6379,0.237,0.4798,0.5146
6,MAS,10.0,0.186,0.4267,0.6371,0.2468,0.4896,0.4752
7,MAS,100.0,0.183,0.4234,0.6395,0.2542,0.4978,0.4969
8,MAS,1000.0,0.1859,0.4268,0.6401,0.2466,0.4897,0.5201
0,MAS,10000,0.1846,0.4251,0.6377,0.2485,0.4918,0.4765
