,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1826,0.4229,0.6403,0.2476,0.4885,0.5193
1,MAS,0.0001,0.1836,0.4242,0.6374,0.2466,0.4875,0.5227
2,MAS,0.001,0.1857,0.4264,0.6359,0.2417,0.4828,0.5213
3,MAS,0.01,0.1831,0.4232,0.6388,0.2394,0.4808,0.5277
4,MAS,0.1,0.1836,0.4239,0.6396,0.2345,0.4764,0.5309
5,MAS,1.0,0.1807,0.4207,0.6379,0.2392,0.4819,0.5117
6,MAS,10.0,0.186,0.4267,0.6371,0.2486,0.4912,0.4716
7,MAS,100.0,0.183,0.4234,0.6395,0.2538,0.4973,0.501
8,MAS,1000.0,0.1859,0.4268,0.6401,0.245,0.488,0.5263
0,MAS,10000,0.1846,0.4251,0.6377,0.2473,0.4905,0.4812
