,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.1774215698242188,1.1978988647460938,"(554.14, 16.82)","(571.58, 17.26)",0,0
1,0.0001,1.1979026794433594,1.2149085998535156,"(571.58, 17.26)","(589.23, 17.73)",0,0
2,0.001,1.2149085998535156,1.2337799072265625,"(589.24, 17.73)","(606.58, 18.17)",0,0
3,0.01,1.233783721923828,1.25408935546875,"(606.59, 18.17)","(624.05, 18.57)",0,0
4,0.1,1.25408935546875,1.2829055786132812,"(624.06, 18.57)","(641.36, 19.03)",0,0
5,1.0,1.2829093933105469,1.3042716979980469,"(641.36, 19.04)","(658.75, 19.53)",0,0
6,10.0,1.3042716979980469,1.3247604370117188,"(658.76, 19.53)","(676.23, 19.97)",0,0
7,100.0,1.3247642517089844,1.3453521728515625,"(676.23, 19.97)","(693.66, 20.43)",0,0
8,1000.0,1.345355987548828,1.3627815246582031,"(693.67, 20.43)","(711.47, 20.9)",0,0
0,10000,1.3627815246582031,1.3798370361328125,"(711.47, 20.9)","(728.98, 21.34)",0,0
