,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.1847,0.4253,0.6424,0.2468,0.4874,0.521
1,SI,0.0001,0.1829,0.4237,0.6251,0.2523,0.4929,0.521
2,SI,0.001,0.1811,0.4218,0.6287,0.2472,0.4878,0.5217
3,SI,0.01,0.1841,0.4246,0.6368,0.2434,0.4844,0.5245
4,SI,0.1,0.1799,0.42,0.6398,0.2371,0.4792,0.5251
5,SI,1.0,0.1811,0.4217,0.6032,0.2437,0.4865,0.4942
6,SI,10.0,0.1806,0.4209,0.6388,0.226,0.4702,0.5253
7,SI,100.0,0.1819,0.4225,0.6351,0.2309,0.4738,0.5264
8,SI,1000.0,0.1802,0.4204,0.6366,0.2323,0.4742,0.5186
0,SI,10000,0.1827,0.4228,0.6219,0.2382,0.4796,0.4924
