,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.9892845153808594,1.0078620910644531,"(380.43, 12.37)","(397.87, 12.78)",0,0
1,0.0001,1.0078659057617188,1.0191688537597656,"(397.88, 12.78)","(415.16, 13.23)",0,0
2,0.001,1.0191688537597656,1.0393714904785156,"(415.17, 13.23)","(432.57, 13.66)",0,0
3,0.01,1.0393753051757812,1.059814453125,"(432.58, 13.66)","(449.86, 14.11)",0,0
4,0.1,1.059814453125,1.0802383422851562,"(449.87, 14.11)","(467.04, 14.54)",0,0
5,1.0,1.0802383422851562,1.096893310546875,"(467.05, 14.55)","(484.74, 15.02)",0,0
6,10.0,1.096893310546875,1.120513916015625,"(484.74, 15.02)","(502.11, 15.46)",0,0
7,100.0,1.1205215454101562,1.1370811462402344,"(502.12, 15.46)","(519.42, 15.92)",0,0
8,1000.0,1.1370849609375,1.1569862365722656,"(519.43, 15.92)","(536.83, 16.34)",0,0
0,10000,1.1569938659667969,1.1773414611816406,"(536.83, 16.34)","(554.13, 16.82)",0,0
