,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.248,0.4921,0.5618,0.2686,0.5061,0.5722
1,EWC,0.0001,0.2605,0.5022,0.5705,0.2791,0.5182,0.5222
2,EWC,0.001,0.2552,0.4978,0.5628,0.2726,0.5115,0.5513
3,EWC,0.01,0.2418,0.4862,0.5772,0.2791,0.5171,0.5079
4,EWC,0.1,0.2442,0.4886,0.5993,0.2831,0.5203,0.5025
5,EWC,1.0,0.2678,0.5074,0.5151,0.2607,0.5004,0.5632
6,EWC,10.0,0.2411,0.4853,0.5954,0.2836,0.5219,0.4737
7,EWC,100.0,0.2636,0.5062,0.5402,0.2674,0.5067,0.4839
8,EWC,1000.0,0.2731,0.5128,0.5482,0.2707,0.5096,0.4653
0,EWC,10000,0.2627,0.5041,0.5772,0.2424,0.4853,0.4812
