,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.3842964172363281,0.4551277160644531,"(4.41, 3.91)","(6.48, 4.25)",0,0
1,0.0001,0.4570884704589844,0.4814186096191406,"(6.48, 4.25)","(8.28, 4.44)",0,0
2,0.001,0.4814567565917969,0.5005149841308594,"(8.29, 4.44)","(10.25, 4.61)",0,0
3,0.01,0.500518798828125,0.5226783752441406,"(10.26, 4.61)","(12.07, 4.8)",0,0
4,0.1,0.5226821899414062,0.5417289733886719,"(12.08, 4.8)","(13.92, 4.98)",0,0
5,1.0,0.5417366027832031,0.5637855529785156,"(13.92, 4.98)","(15.73, 5.16)",0,0
6,10.0,0.5637855529785156,0.5831108093261719,"(15.73, 5.16)","(17.58, 5.35)",0,0
7,100.0,0.5831222534179688,0.6048202514648438,"(17.59, 5.35)","(19.65, 5.54)",0,0
8,1000.0,0.6048202514648438,0.6234893798828125,"(19.66, 5.54)","(21.48, 5.72)",0,0
0,10000,0.6234970092773438,0.6446914672851562,"(21.49, 5.72)","(23.31, 5.92)",0,0
