,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.2645,0.5086,0.5547,0.2636,0.5035,0.5711
1,EWCOnline,0.0001,0.2427,0.4848,0.5992,0.2883,0.5253,0.4978
2,EWCOnline,0.001,0.2533,0.4967,0.5606,0.2651,0.507,0.552
3,EWCOnline,0.01,0.2661,0.509,0.5833,0.2739,0.5134,0.5478
4,EWCOnline,0.1,0.2424,0.4878,0.6214,0.2605,0.5007,0.581
5,EWCOnline,1.0,0.2599,0.5049,0.5706,0.2555,0.496,0.5622
6,EWCOnline,10.0,0.2486,0.4912,0.5206,0.2635,0.5042,0.5334
7,EWCOnline,100.0,0.2654,0.5074,0.5926,0.2742,0.5168,0.4536
8,EWCOnline,1000.0,0.2706,0.5128,0.5199,0.2605,0.5013,0.482
0,EWCOnline,10000,0.2594,0.5024,0.5887,0.2591,0.5041,0.5343
