,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.2645,0.5086,0.5547,0.2693,0.508,0.5561
1,EWCOnline,0.0001,0.2427,0.4848,0.5992,0.2939,0.5296,0.4923
2,EWCOnline,0.001,0.2533,0.4967,0.5606,0.2715,0.5115,0.5524
3,EWCOnline,0.01,0.2661,0.509,0.5833,0.2798,0.518,0.5451
4,EWCOnline,0.1,0.2424,0.4878,0.6214,0.266,0.5047,0.5725
5,EWCOnline,1.0,0.2599,0.5049,0.5706,0.2613,0.5003,0.5558
6,EWCOnline,10.0,0.2486,0.4912,0.5206,0.2699,0.5089,0.5281
7,EWCOnline,100.0,0.2654,0.5074,0.5926,0.2779,0.5188,0.4351
8,EWCOnline,1000.0,0.2706,0.5128,0.5199,0.2624,0.5022,0.4772
0,EWCOnline,10000,0.2594,0.5024,0.5887,0.2517,0.4963,0.5497
