,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.6447372436523438,0.663177490234375,"(23.32, 5.92)","(25.14, 6.1)",0,0
1,0.0001,0.6651344299316406,0.6849517822265625,"(25.15, 6.1)","(26.96, 6.29)",0,0
2,0.001,0.6849555969238281,0.7039222717285156,"(26.97, 6.29)","(28.82, 6.49)",0,0
3,0.01,0.7039299011230469,0.724761962890625,"(28.82, 6.49)","(30.94, 6.72)",0,0
4,0.1,0.7247657775878906,0.74310302734375,"(30.94, 6.72)","(32.79, 6.9)",0,0
5,1.0,0.7431068420410156,0.7646675109863281,"(32.8, 6.9)","(34.65, 7.1)",0,0
6,10.0,0.7646675109863281,0.7848892211914062,"(34.66, 7.1)","(36.47, 7.31)",0,0
7,100.0,0.7849006652832031,0.8064002990722656,"(36.48, 7.31)","(38.33, 7.5)",0,0
8,1000.0,0.8064079284667969,0.8253211975097656,"(38.34, 7.5)","(40.18, 7.7)",0,0
0,10000,0.8253250122070312,0.8467483520507812,"(40.18, 7.7)","(42.01, 7.89)",0,0
