,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.2684,0.5128,0.5725,0.2893,0.5262,0.498
1,MAS,0.0001,0.2423,0.4872,0.5629,0.2742,0.5149,0.5362
2,MAS,0.001,0.2694,0.5118,0.5104,0.2681,0.5078,0.555
3,MAS,0.01,0.2406,0.4858,0.6043,0.2666,0.5073,0.5484
4,MAS,0.1,0.2568,0.5004,0.574,0.2509,0.4923,0.5605
5,MAS,1.0,0.2712,0.5127,0.5667,0.2414,0.4815,0.5888
6,MAS,10.0,0.2355,0.4802,0.5974,0.2505,0.4951,0.547
7,MAS,100.0,0.255,0.4985,0.5324,0.2701,0.5128,0.4731
8,MAS,1000.0,0.2609,0.504,0.522,0.2734,0.5179,0.4672
0,MAS,10000,0.2772,0.5169,0.5891,0.2866,0.5265,0.5176
