,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.2684,0.5128,0.5725,0.2957,0.5313,0.5002
1,MAS,0.0001,0.2423,0.4872,0.5629,0.2832,0.5219,0.5233
2,MAS,0.001,0.2694,0.5118,0.5104,0.2766,0.5144,0.5448
3,MAS,0.01,0.2406,0.4858,0.6043,0.2713,0.5107,0.5433
4,MAS,0.1,0.2568,0.5004,0.574,0.2544,0.4946,0.5542
5,MAS,1.0,0.2712,0.5127,0.5667,0.2423,0.4821,0.5793
6,MAS,10.0,0.2355,0.4802,0.5974,0.2461,0.49,0.548
7,MAS,100.0,0.255,0.4985,0.5324,0.2581,0.5012,0.5014
8,MAS,1000.0,0.2609,0.504,0.522,0.265,0.5093,0.5093
0,MAS,10000,0.2772,0.5169,0.5891,0.2701,0.5126,0.5407
