,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.04290771484375,1.062408447265625,"(61.26, 10.06)","(63.14, 10.28)",0,0
1,0.0001,1.0643653869628906,1.0834808349609375,"(63.15, 10.28)","(65.0, 10.5)",0,0
2,0.001,1.0834808349609375,1.1020393371582031,"(65.0, 10.5)","(66.83, 10.73)",0,0
3,0.01,1.1020431518554688,1.125030517578125,"(66.83, 10.73)","(68.69, 10.92)",0,0
4,0.1,1.125030517578125,1.1415786743164062,"(68.7, 10.92)","(70.58, 11.13)",0,0
5,1.0,1.1415863037109375,1.162628173828125,"(70.58, 11.13)","(72.43, 11.36)",0,0
6,10.0,1.162628173828125,1.1807975769042969,"(72.43, 11.37)","(74.25, 11.59)",0,0
7,100.0,1.1808090209960938,1.2019882202148438,"(74.25, 11.59)","(76.14, 11.83)",0,0
8,1000.0,1.2019882202148438,1.2203025817871094,"(76.14, 11.83)","(77.98, 12.08)",0,0
0,10000,1.2203102111816406,1.24139404296875,"(77.98, 12.08)","(79.84, 12.32)",0,0
