,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.2508,0.4956,0.5758,0.2631,0.5046,0.5514
1,SI,0.0001,0.2536,0.4965,0.5636,0.2756,0.5143,0.5286
2,SI,0.001,0.2758,0.5179,0.5604,0.2733,0.5123,0.5491
3,SI,0.01,0.2712,0.5138,0.5509,0.26,0.5008,0.5415
4,SI,0.1,0.253,0.4968,0.5936,0.2805,0.5192,0.503
5,SI,1.0,0.2563,0.5011,0.5887,0.2697,0.5084,0.5184
6,SI,10.0,0.2583,0.5021,0.5772,0.2402,0.4831,0.5854
7,SI,100.0,0.2572,0.5013,0.5094,0.267,0.5108,0.4368
8,SI,1000.0,0.2566,0.5012,0.6015,0.2668,0.5107,0.5178
0,SI,10000,0.2787,0.5219,0.5743,0.2734,0.5171,0.5182
