,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.2508,0.4956,0.5758,0.2704,0.5101,0.5407
1,SI,0.0001,0.2536,0.4965,0.5636,0.2821,0.5193,0.5212
2,SI,0.001,0.2758,0.5179,0.5604,0.2798,0.5173,0.5471
3,SI,0.01,0.2712,0.5138,0.5509,0.2663,0.5054,0.5318
4,SI,0.1,0.253,0.4968,0.5936,0.2878,0.5247,0.5024
5,SI,1.0,0.2563,0.5011,0.5887,0.2695,0.5087,0.5175
6,SI,10.0,0.2583,0.5021,0.5772,0.2428,0.4849,0.574
7,SI,100.0,0.2572,0.5013,0.5094,0.2679,0.5104,0.4358
8,SI,1000.0,0.2566,0.5012,0.6015,0.2591,0.503,0.5219
0,SI,10000,0.2787,0.5219,0.5743,0.2645,0.5087,0.5381
