,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.8467597961425781,0.8649139404296875,"(42.02, 7.89)","(44.17, 8.12)",0,0
1,0.0001,0.8649139404296875,0.8847198486328125,"(44.17, 8.12)","(46.02, 8.33)",0,0
2,0.001,0.8847274780273438,0.9057693481445312,"(46.02, 8.34)","(47.84, 8.54)",0,0
3,0.01,0.9057693481445312,0.928009033203125,"(47.85, 8.55)","(49.7, 8.75)",0,0
4,0.1,0.928009033203125,0.9456062316894532,"(49.7, 8.75)","(51.55, 8.96)",0,0
5,1.0,0.9456062316894532,0.9643516540527344,"(51.55, 8.97)","(53.4, 9.18)",0,0
6,10.0,0.96435546875,0.985370635986328,"(53.41, 9.18)","(55.27, 9.39)",0,0
7,100.0,0.9853744506835938,1.0037612915039062,"(55.27, 9.39)","(57.12, 9.59)",0,0
8,1000.0,1.0057144165039062,1.024799346923828,"(57.13, 9.6)","(58.98, 9.82)",0,0
0,10000,1.0247993469238281,1.0429000854492188,"(58.98, 9.82)","(61.25, 10.06)",0,0
