,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,18.58984375,2.379999999999998,0.0,0.0
1,0.0001,20.28125,2.0600000000000023,0.0,0.0
2,0.001,21.546875,2.0199999999999996,0.0,0.0
3,0.01,22.7734375,2.0500000000000007,0.0,0.0
4,0.1,18.019531250000114,2.059999999999995,0.0,0.0
5,1.0,19.195312499999886,2.0600000000000005,0.0,0.0
6,10.0,21.519531249999886,2.0700000000000074,0.0,0.0
7,100.0,18.828125,2.0499999999999936,0.0,0.0
8,1000.0,19.542968749999773,2.069999999999995,0.0,0.0
9,10000.0,18.535156250000227,2.5100000000000033,0.0,0.0
