,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWC,1e-05,0.251,0.494,0.566,0.2783,0.516,0.5529
1,EWC,0.0001,0.2541,0.4972,0.5443,0.2745,0.5126,0.5488
2,EWC,0.001,0.2629,0.5044,0.5433,0.2682,0.5063,0.555
3,EWC,0.01,0.2609,0.5037,0.508,0.2758,0.514,0.5333
4,EWC,0.1,0.2522,0.495,0.5611,0.2805,0.5181,0.5575
5,EWC,1.0,0.2551,0.4973,0.5714,0.2774,0.5145,0.5433
6,EWC,10.0,0.2621,0.5053,0.5,0.2737,0.5127,0.5019
7,EWC,100.0,0.2602,0.5023,0.5466,0.2612,0.5008,0.5241
8,EWC,1000.0,0.2481,0.4911,0.5789,0.2534,0.4949,0.5138
0,EWC,10000,0.2529,0.4953,0.5737,0.2454,0.4893,0.4963
