,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.3838882446289062,0.4623031616210937,"(6.04, 1.79)","(9.66, 1.94)",0,0
1,0.0001,0.4623146057128906,0.4883537292480469,"(9.66, 1.94)","(13.0, 1.94)",0,0
2,0.001,0.4883956909179687,0.5098114013671875,"(13.0, 1.94)","(16.28, 2.15)",0,0
3,0.01,0.5098114013671875,0.530914306640625,"(16.29, 2.15)","(19.38, 2.38)",0,0
4,0.1,0.5309219360351562,0.5524559020996094,"(19.39, 2.38)","(22.54, 2.66)",0,0
5,1.0,0.5524559020996094,0.5751991271972656,"(22.54, 2.66)","(25.79, 2.88)",0,0
6,10.0,0.5752067565917969,0.5954666137695312,"(25.79, 2.89)","(29.16, 3.16)",0,0
7,100.0,0.5954704284667969,0.6158638000488281,"(29.17, 3.16)","(32.29, 3.44)",0,0
8,1000.0,0.6158714294433594,0.6371688842773438,"(32.29, 3.44)","(35.44, 3.73)",0,0
0,10000,0.6371688842773438,0.659820556640625,"(35.45, 3.73)","(38.65, 3.98)",0,0
