,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.2537,0.4967,0.565,0.2725,0.5114,0.5335
1,EWCOnline,0.0001,0.2559,0.4986,0.57,0.2817,0.5204,0.4978
2,EWCOnline,0.001,0.2534,0.4969,0.5824,0.2777,0.5169,0.534
3,EWCOnline,0.01,0.2628,0.5038,0.5465,0.273,0.5128,0.5431
4,EWCOnline,0.1,0.2529,0.4944,0.5765,0.2704,0.5105,0.543
5,EWCOnline,1.0,0.2495,0.4913,0.5822,0.2679,0.5069,0.5496
6,EWCOnline,10.0,0.2607,0.5035,0.5352,0.2714,0.5116,0.5029
7,EWCOnline,100.0,0.2625,0.5051,0.5409,0.2557,0.498,0.4513
8,EWCOnline,1000.0,0.2481,0.4915,0.5686,0.2474,0.4915,0.4887
0,EWCOnline,10000,0.2505,0.4936,0.5396,0.2593,0.5034,0.4848
