,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,EWCOnline,1e-05,0.2537,0.4967,0.565,0.2783,0.5159,0.5287
1,EWCOnline,0.0001,0.2559,0.4986,0.57,0.2886,0.5253,0.4923
2,EWCOnline,0.001,0.2534,0.4969,0.5824,0.284,0.5212,0.5375
3,EWCOnline,0.01,0.2628,0.5038,0.5465,0.2785,0.5165,0.5485
4,EWCOnline,0.1,0.2529,0.4944,0.5765,0.2764,0.5148,0.5427
5,EWCOnline,1.0,0.2495,0.4913,0.5822,0.2735,0.511,0.5457
6,EWCOnline,10.0,0.2607,0.5035,0.5352,0.2739,0.513,0.4992
7,EWCOnline,100.0,0.2625,0.5051,0.5409,0.2563,0.4982,0.4335
8,EWCOnline,1000.0,0.2481,0.4915,0.5686,0.2437,0.4876,0.4734
0,EWCOnline,10000,0.2505,0.4936,0.5396,0.2512,0.4954,0.4954
