,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.6598663330078125,0.6779518127441406,"(38.67, 3.98)","(42.07, 4.28)",0,0
1,0.0001,0.6779518127441406,0.6980133056640625,"(42.07, 4.28)","(45.26, 4.57)",0,0
2,0.001,0.6980209350585938,0.7180290222167969,"(45.26, 4.57)","(48.46, 4.86)",0,0
3,0.01,0.7180328369140625,0.7385520935058594,"(48.46, 4.86)","(51.57, 5.15)",0,0
4,0.1,0.7385520935058594,0.7594337463378906,"(51.57, 5.15)","(54.65, 5.43)",0,0
5,1.0,0.7594413757324219,0.7800445556640625,"(54.65, 5.43)","(57.72, 5.69)",0,0
6,10.0,0.7800483703613281,0.7994346618652344,"(57.73, 5.69)","(61.08, 5.96)",0,0
7,100.0,0.7994346618652344,0.8192367553710938,"(61.08, 5.97)","(64.15, 6.25)",0,0
8,1000.0,0.8192405700683594,0.8393707275390625,"(64.15, 6.25)","(67.19, 6.53)",0,0
0,10000,0.8393745422363281,0.85888671875,"(67.19, 6.54)","(70.26, 6.81)",0,0
