,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.2507,0.495,0.5684,0.2689,0.508,0.5447
1,MAS,0.0001,0.2508,0.4947,0.5823,0.2667,0.5063,0.5441
2,MAS,0.001,0.2491,0.4922,0.5697,0.2707,0.5111,0.5491
3,MAS,0.01,0.2645,0.5078,0.5183,0.2718,0.5109,0.5492
4,MAS,0.1,0.251,0.4941,0.5733,0.2614,0.5019,0.5559
5,MAS,1.0,0.2532,0.4958,0.5515,0.246,0.4889,0.504
6,MAS,10.0,0.2551,0.4988,0.5523,0.2613,0.5051,0.443
7,MAS,100.0,0.2573,0.4988,0.5396,0.2638,0.5063,0.4972
8,MAS,1000.0,0.254,0.4971,0.5777,0.2577,0.5017,0.5276
0,MAS,10000,0.2611,0.5024,0.5312,0.2717,0.5148,0.4806
