,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.2507,0.495,0.5684,0.2734,0.5114,0.5483
1,MAS,0.0001,0.2508,0.4947,0.5823,0.2725,0.5108,0.5434
2,MAS,0.001,0.2491,0.4922,0.5697,0.2766,0.5152,0.5512
3,MAS,0.01,0.2645,0.5078,0.5183,0.2761,0.5139,0.5514
4,MAS,0.1,0.251,0.4941,0.5733,0.2641,0.5036,0.5523
5,MAS,1.0,0.2532,0.4958,0.5515,0.2454,0.4882,0.4903
6,MAS,10.0,0.2551,0.4988,0.5523,0.258,0.5015,0.4218
7,MAS,100.0,0.2573,0.4988,0.5396,0.2521,0.4954,0.5082
8,MAS,1000.0,0.254,0.4971,0.5777,0.2492,0.493,0.5319
0,MAS,10000,0.2611,0.5024,0.5312,0.26,0.5037,0.5002
