,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.0606536865234375,1.0783042907714844,"(101.45, 9.73)","(104.93, 10.06)",0,0
1,0.0001,1.0783042907714844,1.0998802185058594,"(104.94, 10.06)","(108.13, 10.34)",0,0
2,0.001,1.0998802185058594,1.1181869506835938,"(108.14, 10.35)","(111.21, 10.65)",0,0
3,0.01,1.1181907653808594,1.1380462646484375,"(111.22, 10.65)","(114.32, 10.95)",0,0
4,0.1,1.1380462646484375,1.1579093933105469,"(114.32, 10.96)","(117.42, 11.27)",0,0
5,1.0,1.1579093933105469,1.1777458190917969,"(117.42, 11.27)","(120.56, 11.57)",0,0
6,10.0,1.1777458190917969,1.1976203918457031,"(120.57, 11.57)","(123.7, 11.89)",0,0
7,100.0,1.1976203918457031,1.21734619140625,"(123.7, 11.89)","(126.8, 12.19)",0,0
8,1000.0,1.21734619140625,1.2368812561035156,"(126.81, 12.2)","(130.34, 12.51)",0,0
0,10000,1.2368812561035156,1.2559242248535156,"(130.34, 12.52)","(133.45, 12.82)",0,0
