,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.2525,0.4956,0.5629,0.2774,0.5167,0.5419
1,SI,0.0001,0.255,0.4976,0.5521,0.2749,0.5142,0.5383
2,SI,0.001,0.2457,0.4874,0.5913,0.2721,0.5114,0.5296
3,SI,0.01,0.2513,0.4941,0.5726,0.271,0.5106,0.5438
4,SI,0.1,0.2516,0.4939,0.5693,0.2706,0.5114,0.5359
5,SI,1.0,0.2493,0.4919,0.5774,0.2667,0.5063,0.5382
6,SI,10.0,0.2622,0.5046,0.5458,0.2488,0.4895,0.5743
7,SI,100.0,0.2583,0.5,0.5655,0.25,0.4942,0.5418
8,SI,1000.0,0.2534,0.4947,0.5513,0.2594,0.504,0.524
0,SI,10000,0.2599,0.5021,0.5487,0.2637,0.5069,0.508
