,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.2525,0.4956,0.5629,0.2839,0.5214,0.5395
1,SI,0.0001,0.255,0.4976,0.5521,0.2811,0.5185,0.5381
2,SI,0.001,0.2457,0.4874,0.5913,0.2778,0.5155,0.5338
3,SI,0.01,0.2513,0.4941,0.5726,0.2761,0.5141,0.546
4,SI,0.1,0.2516,0.4939,0.5693,0.2763,0.5153,0.5447
5,SI,1.0,0.2493,0.4919,0.5774,0.2719,0.5102,0.5343
6,SI,10.0,0.2622,0.5046,0.5458,0.2499,0.4903,0.5699
7,SI,100.0,0.2583,0.5,0.5655,0.2478,0.4917,0.5414
8,SI,1000.0,0.2534,0.4947,0.5513,0.2511,0.4956,0.5359
0,SI,10000,0.2599,0.5021,0.5487,0.2534,0.497,0.5134
