,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,0.8588943481445312,0.8789520263671875,"(70.27, 6.81)","(73.34, 7.1)",0,0
1,0.0001,0.8789520263671875,0.8987922668457031,"(73.34, 7.1)","(76.44, 7.38)",0,0
2,0.001,0.8987922668457031,0.9179534912109376,"(76.45, 7.38)","(79.81, 7.67)",0,0
3,0.01,0.9179534912109376,0.9380645751953124,"(79.81, 7.68)","(82.9, 7.95)",0,0
4,0.1,0.9380645751953124,0.9579010009765624,"(82.9, 7.95)","(86.03, 8.22)",0,0
5,1.0,0.957904815673828,0.979045867919922,"(86.04, 8.22)","(89.1, 8.52)",0,0
6,10.0,0.9790496826171876,0.9978370666503906,"(89.1, 8.52)","(92.2, 8.81)",0,0
7,100.0,0.9978370666503906,1.0177040100097656,"(92.21, 8.81)","(95.29, 9.09)",0,0
8,1000.0,1.0177040100097656,1.0402717590332031,"(95.3, 9.09)","(98.4, 9.4)",0,0
0,10000,1.0402755737304688,1.0606460571289062,"(98.4, 9.4)","(101.44, 9.73)",0,0
