,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,20.5390625,3.3600000000000074,0.0,0.0
1,0.0001,20.31640625,3.3799999999999937,0.0,0.0
2,0.001,19.621093750000114,3.6499999999999995,0.0,0.0
3,0.01,20.593749999999773,3.360000000000003,0.0,0.0
4,0.1,20.3125,3.399999999999996,0.0,0.0
5,1.0,21.648437500000227,3.359999999999987,0.0,0.0
6,10.0,19.238281249999886,3.3900000000000095,0.0,0.0
7,100.0,20.34375,3.360000000000012,0.0,0.0
8,1000.0,23.109375,3.410000000000009,0.0,0.0
9,10000.0,20.859375,3.369999999999992,0.0,0.0
